DateTime, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
11/12/2017 10:52:35.251176,29.361,40.702,1031.956,215.801975,356.730118,2.171165,-5.351357,5.945352,26.308798,0.056247,0.034719,0.960166,-0.060679,0.072064,0.049957,standing
11/12/2017 10:52:35.523388,29.308,39.749,1031.952,216.099403,356.626506,2.103062,-10.720130,12.090914,53.852757,0.055035,0.016267,0.974544,0.011399,0.019521,-0.016927,standing
11/12/2017 10:52:35.688238,29.468,40.231,1031.941,216.340904,356.301112,2.310486,-13.004756,14.781075,65.216164,0.046307,0.014810,0.939451,0.040319,0.005237,-0.007642,standing
11/12/2017 10:52:35.849093,29.397,40.121,1031.950,216.613607,356.519507,2.298305,-13.880388,16.216396,69.694740,0.060854,0.016267,0.945544,-0.005668,0.020673,0.007911,standing
11/12/2017 10:52:36.010403,29.343,40.088,1031.943,216.940253,356.745464,2.196436,-13.895806,16.390114,71.753525,0.055763,0.023308,0.937014,-0.008612,0.015847,0.017006,standing
11/12/2017 10:52:36.175225,29.308,40.224,1031.937,217.164516,356.379332,1.840557,-14.020544,16.183704,72.564941,0.067885,0.002914,0.961140,0.022489,0.000194,0.012791,standing
11/12/2017 10:52:36.336366,29.308,40.011,1031.944,217.206713,356.615157,1.925716,-14.178524,15.746212,73.375908,0.057702,0.010197,0.925561,0.002293,0.021930,-0.005552,standing
11/12/2017 10:52:36.497449,29.343,40.154,1031.955,217.219458,356.850376,1.917119,-14.236344,15.607034,73.796616,0.061096,0.013596,0.954561,-0.000671,0.011006,-0.008598,standing
11/12/2017 10:52:36.662263,29.379,39.975,1031.958,217.204650,357.119853,2.216656,-14.291368,15.489840,73.464424,0.056490,0.012382,0.941401,0.037855,0.004997,-0.002260,standing
11/12/2017 10:52:36.823478,29.397,40.204,1031.969,217.304876,356.987696,2.432300,-14.286838,15.459879,73.560707,0.061581,0.011897,0.997939,0.003272,-0.018102,-0.001161,standing
11/12/2017 10:52:36.984668,29.397,40.134,1031.974,217.387276,357.048391,2.258510,-14.311211,16.060633,73.556519,0.056732,0.014325,0.949930,-0.000902,0.001060,0.002870,standing
11/12/2017 10:52:37.149449,29.326,40.081,1031.967,217.478295,357.014498,2.310934,-14.063699,16.037762,73.242119,0.060854,0.006313,0.944082,0.017257,0.002811,-0.002997,standing
11/12/2017 10:52:37.317598,29.308,40.805,1031.975,217.518634,357.246427,2.266174,-13.682872,15.841974,73.545807,0.062309,0.006313,0.948712,0.005906,0.018610,-0.009703,standing
11/12/2017 10:52:37.478927,29.397,40.138,1031.983,217.492119,357.339693,2.133825,-14.501453,15.838367,73.181602,0.062551,0.008983,0.952367,0.017350,0.021864,-0.004395,standing
11/12/2017 10:52:37.640324,29.379,39.995,1031.973,217.503935,357.539479,2.195811,-14.397323,15.829420,72.976425,0.065703,0.006313,0.939451,0.016156,0.030871,-0.014067,standing
11/12/2017 10:52:37.805134,29.361,39.965,1031.963,217.463391,357.650011,1.956155,-14.244225,15.758842,73.421211,0.068370,0.010440,0.954804,-0.000221,0.015367,-0.015151,standing
