DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:03.6,,,33.302,37.045,1018.872,171.709904,347.896521,5.735661,-5.422262,1.581421,33.805347,0.186683,0.051715,0.918493,-0.232957,-0.088266,0.018616,standing
42:03.9,32.90815949,-80.10055561,33.231,37.148,1018.865,172.784716,347.495284,4.372864,-10.698288,3.098655,68.779152,0.263054,0.044188,0.873653,-0.067204,0.022742,0.147437,standing
42:04.0,32.90815949,-80.10055561,33.266,37.361,1018.873,172.994458,348.075652,5.30217,-12.786705,4.034654,82.798531,0.171409,0.003885,0.972107,0.453559,-0.104623,-0.21725,standing
42:04.2,32.90815949,-80.10055561,33.337,37.7,1018.871,174.887349,347.42842,4.700155,-13.396505,6.37551,87.651169,0.236385,0.045888,0.875115,-0.224807,0.018161,0.013657,standing
42:04.4,32.90815949,-80.10055561,33.337,37.371,1018.889,175.472163,345.944486,4.110201,-12.200661,8.769547,87.554382,0.260629,0.040061,0.818578,-0.055061,-0.024005,-0.127858,standing
42:04.5,32.90815865,-80.10054507,33.32,37.079,1018.893,175.971819,347.525771,5.090227,-11.205194,10.674492,86.593666,0.20026,0.093475,0.925317,0.000222,0.202626,-0.011793,walking
42:04.7,32.90815865,-80.10054507,33.337,37.218,1018.879,178.584093,347.485445,4.400782,-11.436671,11.679115,85.513,0.221838,0.04346,0.919712,0.123311,-0.030113,0.219724,walking
42:04.9,32.90815865,-80.10054507,33.337,37.318,1018.867,181.172096,347.386419,5.017436,-11.800283,12.165601,85.83976,0.263781,0.083278,0.816628,0.120677,-0.044997,-0.051381,walking
42:05.0,32.90815865,-80.10054507,33.302,37.388,1018.865,179.91363,346.451814,6.302298,-12.185798,12.52812,86.249466,0.278085,0.035205,1.017678,0.21139,-0.231311,-0.369642,walking
42:05.2,32.90815865,-80.10054507,33.373,37.281,1018.853,178.461464,349.54735,7.876697,-13.036963,12.450783,86.725639,0.134073,0.144947,0.817847,0.182985,0.428424,-0.14576,walking
42:05.3,32.90815109,-80.10054507,33.266,37.185,1018.844,179.205244,353.128624,7.267415,-14.739322,12.669427,85.962845,0.080977,0.102216,1.023039,-0.201249,0.173998,0.156924,walking
42:05.5,32.90815109,-80.10054507,33.462,37.58,1018.826,182.212894,353.585796,6.406153,-16.110777,13.28103,86.10955,0.217232,0.143733,0.88072,0.131062,-0.165337,0.135238,walking
42:05.7,32.90815109,-80.10054507,33.355,36.949,1018.833,179.818964,350.20909,9.735879,-15.455947,13.757427,86.643036,0.282692,0.272656,0.863174,0.146639,-0.459469,-0.274347,walking
42:05.8,32.90815109,-80.10054507,33.355,37.743,1018.822,177.135273,349.324641,12.726083,-14.515613,14.957688,88.000809,0.161469,0.360304,0.90046,0.34914,0.095197,-0.067264,walking
42:06.0,32.90815109,-80.10054507,33.178,37.211,1018.829,175.181389,349.572039,15.738991,-14.095669,17.110283,89.122047,0.406582,0.428529,0.831006,0.385487,-0.038277,0.129435,walking
42:06.2,32.90815109,-80.10054507,33.266,37.278,1018.837,165.432113,348.172988,19.448552,-12.205337,18.574286,92.132759,0.241719,0.40692,0.92093,0.167103,0.177663,-0.354981,walking
42:06.3,32.90815109,-80.10054507,33.018,37.394,1018.841,162.441542,343.852067,18.723915,-9.380554,16.450926,92.8778,0.16947,0.031806,0.75278,-0.634964,0.060072,-0.693706,walking
42:06.5,32.90815109,-80.10054507,33.107,37.311,1018.851,158.290208,347.289853,16.114966,-10.494677,12.408836,91.513084,0.179895,0.165099,0.877309,-0.257754,0.027085,-0.97165,walking
42:06.7,32.90815109,-80.10054507,33,37.676,1018.858,151.092828,352.205644,13.636065,-13.541812,7.798337,89.508255,0.022063,0.147375,0.899972,-0.331669,0.188659,-1.331144,walking
42:06.8,32.90815109,-80.10054507,33.124,37.57,1018.857,140.007021,355.526903,12.269967,-16.05855,3.425293,88.498314,0.12195,0.243278,1.010367,-0.094042,-0.333325,-1.446597,walking
42:07.0,32.90815109,-80.10054507,33.053,37.049,1018.854,132.626974,356.274054,11.074524,-16.624884,-0.879849,88.226814,0.140861,0.059727,0.978199,-0.315481,-0.127769,-1.102986,walking
42:07.2,32.90815109,-80.10054507,33.142,37.467,1018.866,127.246534,356.229829,13.380486,-15.955777,-4.912785,88.799149,0.077583,0.035933,0.792015,0.319513,-0.767651,-0.727609,walking
42:07.3,32.90814625,-80.1005469,33.142,36.909,1018.864,122.680484,354.279891,11.884207,-13.684965,-7.911543,89.300789,0.16753,0.105129,0.856838,-0.559216,-0.439616,-0.67202,walking
